NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Autauga County,Alabama,22308,2.61,90.4,29.6,11.6,90.1,2.6,3.7,27.1,68315,35332,11.4,24457,0.6,1.2,2.1,2,1.9,75.5,191800,58761,51.2,5.7,23.4,15.6,74.4,19.6,0.1,1.1,0,4.2,2.2,0.6,924,11216,3769,1499,60.5,0,180.75,0,0,267.75,666340,0,93.98534602
Baldwin County,Alabama,90802,2.53,91.6,32.6,11.3,86.8,3.5,4.9,26.6,71039,38907,10.2,125113,1.6,2.1,3.2,3.6,13,77.9,266000,233420,51.1,5.2,21.2,21.2,84,8.3,0.4,0.9,0,4.6,3.7,1.6,5992,65335,22677,4521,0,10,0,0,0,664,3703387,794102,140.4144021
Barbour County,Alabama,9016,2.43,76.5,11.9,6.6,85,3.1,7.9,25.5,39712,23378,24.2,11673,5.7,3.6,2.9,0.4,1,65,102700,24877,47.9,5.2,20.7,19.8,45.5,46.9,0.3,0.5,0,2.4,5.2,0.8,423,6085,1686,441,0,0,0,0,0,62,205813,29304,27.89353269
Bibb County,Alabama,7216,2.89,78.9,10.9,7.8,86.6,1.1,2.5,30.6,50669,24966,20.6,9046,1.4,1,2.6,1,1.7,75.7,120100,22251,46.5,5.2,21.2,16.8,75.8,20.7,0.1,0.3,0,2.6,1,1.4,298,4008,1176,2755,150.5714286,0,206,0,48.42857143,465.1428571,119780,18712,35.97652982
Blount County,Alabama,21626,2.7,81.8,14.7,6.7,88.5,4.8,7.9,34.9,57440,29053,14.2,24677,1.8,1.9,0.8,0.4,0.5,79.3,159800,59077,49.4,5.8,23,18.3,91.3,1.2,0.4,0.2,0.2,3.6,4.6,0.9,726,6765,3906,2755,150.5714286,0,206,0,48.42857143,465.1428571,340887,35915,89.67624657
Bullock County,Alabama,3450,2.78,73.4,9.4,4.7,86.5,3.8,9.4,31.3,36136,22115,27.9,4541,5.2,0.8,1.7,1.6,2.5,64.7,87700,10328,46.3,5.4,21.1,16.6,23.2,68.9,0,0.4,0,2,6.8,3.7,114,1958,575,75,0,0,0,0,0,0,58730,4616,16.21837279
Butler County,Alabama,7131,2.61,87.6,13,7,95,1.7,2.5,25.2,44429,26334,21.1,9835,1.9,3.9,3.9,0.1,0.7,70.8,94800,18981,53,5.6,22.3,21.2,51.5,44.6,0.4,1.3,0,2,1.1,0.3,430,5875,1030,365,0,0,0,0,0,22,220594,0,25.03480281
Calhoun County,Alabama,44693,2.52,85.1,19.2,8.9,86.3,2.3,3.9,24.8,54339,28227,18,53167,2.3,2.9,3.3,1.5,2.2,70.9,140500,116162,51.6,5.6,21.2,17.9,71.7,22.1,0.2,0.7,0.2,3.2,2.9,0.6,2222,34539,6971,1814,0,0,0,0,0,0,1652250,246993,187.507312
Chambers County,Alabama,13143,2.58,83.5,12.7,7.2,92,1.5,2.8,22.9,48805,27006,17.9,16427,2.7,2.2,3.3,1.6,5.6,72.2,116900,34612,52.4,6,20.8,19.7,56.7,40.8,0.1,0.2,0,1.5,1,1.1,599,7552,2108,517,0,0,56,0,0,83,297074,43828,55.74284076
Cherokee County,Alabama,9997,2.48,81.9,14.6,7,89.4,2,2.4,30,46621,28422,14.3,14687,1.2,0.7,0.9,0.3,0.9,79.7,158700,25069,51.1,4.6,18.9,23.2,91.3,4,0.5,0.1,0,3.3,1.4,0.3,369,4428,1740,309,0,0,0,0,0,54,207791,21937,47.32576874
Chilton County,Alabama,16931,2.64,82.2,14,5.2,92.4,4.1,7.8,31,62471,28497,14.5,19546,0.1,2.1,1.6,0.4,0.1,75,136000,45140,51.2,6,23.7,16.8,81.3,9.4,1.4,0.5,0.3,3.7,5.1,0.8,775,7430,3173,2755,150.5714286,0,206,0,48.42857143,465.1428571,510609,47112,64.12340869
Choctaw County,Alabama,5228,2.39,82.4,13,6.4,94.9,0.4,2.2,34.9,43299,26343,19.1,7138,0.5,0.3,1.2,0.2,0.7,82,101600,12669,52.8,5.4,19.9,23.3,56.7,40,0.2,0.1,0,2.4,0.7,1.1,244,2876,766,231,0,0,0,0,0,0,90260,0,13.78155229
Clarke County,Alabama,8188,2.77,81.4,13.8,6.8,93.6,0.8,1.2,25.5,47549,29310,22.4,11733,0.8,3.1,1.6,0.2,1.2,72.3,126200,23058,52.2,6.2,22,20.4,51.4,45.5,0.1,0.4,0,1.8,1.1,1,594,6509,1440,468,0,0,0,0,0,0,348222,0,19.07429742
Clay County,Alabama,5485,2.54,83.3,12.8,6.3,93.6,0.6,2.7,26.8,48074,27991,17.6,7040,4,3.8,1.6,0.1,0.6,78.3,144100,14209,51.2,5.2,20.5,20.8,81.5,12.6,0,0.3,0,4.7,2.7,0.6,190,3718,833,173,0,0,0,0,0,44,62963,5442,21.91366533
Cleburne County,Alabama,5761,2.6,82.5,16.5,7.6,89.7,1.4,2.7,34.7,51553,28598,12.9,6818,0.4,1.4,1.1,0,0.3,78,131900,15144,50,5.9,22.8,19.6,92.6,2.7,0.2,0.1,0,2.6,2.5,0.6,178,1664,1018,97,0,0,0,0,0,0,136073,0,26.62003522
Coffee County,Alabama,20363,2.6,86.6,21.6,15.7,85.1,3.9,7.6,23.1,62199,31227,16.3,24155,2.3,3.1,4.4,0.7,0.9,69.5,162200,53559,50.3,5.9,23.7,17.1,72.5,16.8,0.7,1.1,0,6.9,3.8,2.2,991,14107,3206,818,20,0,0,0,0,201,789411,82915,77.08846762
Colbert County,Alabama,23266,2.44,86.4,18,7.1,91.7,1.7,2.1,22,56149,30724,15.9,27709,4.1,4.3,3.6,1.2,1.9,71,148500,57270,51.3,5.5,20.9,20,78,16,0.3,0.4,0.1,2.7,2.9,0.4,1244,22725,3833,1473.5,0,0,0,0,0,0,841235,88153,93.1952259
Conecuh County,Alabama,4453,2.59,89.4,13.3,5.2,94.8,0.8,1.1,27.9,39888,24426,18.4,6451,2.6,3.4,2.9,0.8,0.5,74.7,98800,11576,51.3,4,20.5,23.4,49.7,48.5,0.3,0.3,0,1,0.3,0.2,206,2609,778,152,0,0,0,0,0,0,106876,0,14.19313066
Coosa County,Alabama,3999,2.49,83.5,10.6,8,89.5,0.5,1.3,30.1,52279,28998,11.1,6045,0.1,1.1,2.7,0,0.1,81.2,109500,10329,48.6,4.5,16.1,24.4,66.4,30.2,0.1,0,0,2.6,2,0.9,95,1027,478,89,0,0,0,0,0,0,21878,0,16.38166426
Covington County,Alabama,14194,2.59,85.8,16.3,8.6,92.7,1.2,1.9,24,48772,28528,18.8,18644,1.5,2.6,2.9,0.4,0.6,75,124300,37542,51.4,5.7,21.9,21.7,83.7,12.3,0.3,0.6,0,2.4,1,0.5,832,10342,2306,731,0,0,49,0,0,118,461752,0,35.95040862
Crenshaw County,Alabama,4839,2.68,82.1,17.2,5.1,90.4,2.6,3.5,29.4,48557,32396,14.9,6553,3.7,3.1,0.6,0,0.4,74.6,100400,13205,51.1,5.4,22.9,19.8,71.1,23.2,0.1,1.2,0,3.4,1.2,0.7,229,2984,820,219,0,0,0,0,0,27,66953,0,22.61913911
Cullman County,Alabama,33649,2.59,84.6,18.3,6.9,87.2,2.3,3.7,26.2,58119,29788,13,39182,1.8,2.2,1.8,1,1.7,76.2,166000,88284,50.4,5.9,22.3,18.8,91.8,1.1,0.4,0.3,0,4.7,4.2,0.8,1786,25950,6457,1609,0,0,0,0,0,339,1191283,151508,114.0102165
Dale County,Alabama,19400,2.5,85.7,19.2,14.5,83.4,3.4,6.2,22.9,52813,28312,17.5,22829,2.8,5.1,3.2,1,0.7,60.1,123800,49455,50.5,6.6,23.1,17.5,70.4,21.1,1,1.2,0,3.9,3.1,0.6,715,10329,2968,608,0,0,0,0,0,103,373924,58590,87.63486445
Dallas County,Alabama,14753,2.56,85.3,15.7,6.3,87.6,1.2,1.2,26,37180,22798,27.1,18992,7.5,8.5,2.9,0.4,1.3,61.4,91600,38326,53.3,6,23.6,19.4,27.7,69.1,0.5,0.6,0,2,0,0,675,8784,2333,666,22,0,0,0,0,55,359988,44189,38.00404296
DeKalb County,Alabama,25690,2.75,77.7,14.1,5.9,89.9,7.4,13.6,25.2,47920,24915,20.2,30716,1.8,1.9,1.3,0.8,0.3,73.9,129000,71680,50,5.7,23.9,17.3,82.5,1.5,1.5,0.1,0.6,4.9,11.1,6.4,1154,19057,5219,907,0,0,0,0,0,134,695901,97911,92.02562542
Elmore County,Alabama,32184,2.59,88.5,24.2,9.1,89.1,2.1,2.9,27.3,73258,34152,9.6,36787,0.7,1.9,1.8,2.2,1,77.1,200400,87694,51.3,5.5,21.7,15.8,73.9,20.8,0.3,0.7,0,3.6,1.9,0.5,1255,15176,5885,1499,60.5,0,180.75,0,0,267.75,774369,454770,131.3112898
Escambia County,Alabama,13022,2.63,82.3,12.6,7.5,93.3,0.7,1.3,21.6,41153,21758,21.8,16715,1.2,3.8,4.1,0.4,0.3,67.1,122000,36755,49.7,5.8,22.7,18.6,61.9,30.3,3.1,0.2,0,3.8,1.1,0.2,755,9640,2151,602,0,0,0,0,0,82,426491,303159,38.75595138
Etowah County,Alabama,38791,2.63,86.1,17.7,6.8,89.5,2.4,4.4,24.6,52177,28479,15.9,47412,1.7,2.6,3.4,1.3,1.8,73.4,148400,103348,51.5,5.8,21.4,19.4,77.9,15.2,0.3,0.7,0,3.5,3.6,1.5,1925,27369,7726,1826,0,0,0,0,4,0,1319759,187612,191.1236447
Fayette County,Alabama,6143,2.6,83.7,13,6.1,88,0.7,0.9,29.6,45650,27053,22.2,7816,2.5,1.1,4,1.2,1.4,75.8,112700,16297,50.9,5.2,21.1,21.2,84.2,12.7,0.1,0.2,0.2,2.3,0.4,0.1,265,3111,1052,232,0,0,0,0,0,33,133967,0,25.97167909
Franklin County,Alabama,11239,2.82,80.1,14.8,4.9,95.4,8.7,15.8,26.6,47359,24874,16.6,13940,2.7,1.4,3.9,0.7,1.5,73.2,121600,32011,49.8,7.2,24.7,17.1,77.6,4.2,0.4,0.1,0,4.4,15.9,8.2,529,11238,1873,438,0,0,0,0,0,51,236374,0,49.47323381
Geneva County,Alabama,10391,2.54,83.4,13.9,10,89.8,1.8,3.4,26.5,47608,25644,20.8,12494,1.8,1.8,0.6,0.1,0.3,75.7,120700,26647,51.1,5.4,21.9,20.3,83.9,9.3,0.3,0.5,0,3.6,3.2,0.5,429,3761,1678,841.3333333,0,0,0,0,0,0,162037,0,45.73000976
Greene County,Alabama,2872,2.64,81.9,16.7,8.2,96.5,1.3,0.9,30.7,32796,20862,32.9,4271,0.1,0.3,1.6,0.7,2.8,73.5,88800,7706,51.9,7.1,22,23.7,17.3,81.8,0.1,0,0,0.6,0.2,0.1,95,1495,625,87,0,0,0,0,0,0,35967,2748,12.53587396
Hale County,Alabama,5403,2.69,80.6,16.4,7.7,93.1,0.6,0.9,33.6,35851,23690,25,7464,1.6,1,1.9,0.1,0.8,77.5,109400,14742,52.4,6.6,23.4,19.7,38.4,56.8,0.3,0.1,0,4.4,1.9,0.2,188,1953,1121,1329.333333,0,0,123.6666667,0,0,180,73312,7078,22.75047109
Henry County,Alabama,6686,2.54,81.5,21,9.2,92.1,0.9,2.3,27.1,58395,30273,15.5,9110,1.6,0.8,1.3,0.6,0.2,81.6,132400,17282,52,4.8,20.4,22.9,70.6,25.3,0.3,0.6,0,2.7,1.8,0.1,299,3923,1255,841.3333333,0,0,0,0,0,0,85805,0,30.62748517
Houston County,Alabama,41543,2.55,87.6,22.5,10,89.5,2.5,4,22.6,55064,32126,17.8,49339,2.8,3.9,4.5,2.3,1.8,65.5,164900,107040,51.8,6.1,22.9,18.2,66.6,27.2,0.3,0.9,0,4,2.5,0.9,2776,43581,8296,841.3333333,0,0,0,0,0,0,2218890,280247,182.6005725
Jackson County,Alabama,20670,2.51,82,16.2,6.9,92.4,1.6,2.4,27.3,46748,27695,18.6,24706,1.5,1.6,1.8,0.7,0.4,76.1,126900,52618,50.8,5,20.6,20.6,89.7,3.3,0.8,0.4,0,4,2.5,0.7,837,12548,3260,690,0,0,35,0,0,65,498610,64093,47.89110463
Jefferson County,Alabama,265794,2.46,91.1,35.6,6.5,85.9,3.9,6,24.4,63595,38224,15.9,308428,1.5,3.7,6.2,6.3,7.6,64.1,208900,672265,52.4,6.2,22.7,16.3,50.3,42.7,0.2,1.7,0,3,3.2,1.2,16851,317209,56133,2755,150.5714286,0,206,0,48.42857143,465.1428571,10348528,1810089,592.5535158
Lamar County,Alabama,5168,2.65,82.1,10.2,6.1,94.8,0.7,0.5,25.6,49565,24794,15.3,7104,6.3,3.5,1.5,2.4,0.1,74.7,108200,13885,50.1,6.8,21.8,22.1,85.8,11,0.4,0.2,0,2,0.7,0.5,242,3000,888,219,0,0,0,0,0,0,82743,0,22.82398056
Lauderdale County,Alabama,38237,2.4,88.8,25.8,7.3,82.5,2.3,3.9,26.2,56081,32678,13.3,44705,2.5,3.4,5.2,3.5,3.6,67.5,174800,94329,51.8,5,19.4,20.1,84.4,9.9,0.3,0.6,0.1,4,2.5,0.3,1959,24906,6941,1473.5,0,0,0,0,0,0,1279788,197417,138.8131328
Lawrence County,Alabama,12829,2.56,82.7,15.8,7.3,91.4,1.1,2.7,29.5,54786,29486,15.8,15270,0.8,1.9,2.4,0.7,0.3,79.4,134200,33116,50.8,5.3,21.7,18.6,76.8,10.2,5,0.3,0.1,6.3,2.2,0.7,403,3381,2054,1306.5,0,0,0,0,4.5,262.5,202934,0,47.66866176
Lee County,Alabama,65166,2.57,91.7,40.2,7.5,83.9,5.7,7.5,22,59288,33083,18.5,75473,3.6,3.1,4.9,5.6,7.1,65.2,224400,175126,50.5,5.5,20.9,12.7,68.7,22.5,0.2,4.3,0,3.2,2.2,1.4,3124,47777,12339,2662,0,0,350,0,5,508,1901857,371427,270.8343221
Limestone County,Alabama,38572,2.62,87.3,29.5,9.1,89.1,3.8,6.5,26.5,80146,37504,11.2,42616,1,2.3,2.8,1.1,2.5,77.7,229400,104199,49.7,5.5,22.1,15.4,76.8,13.2,0.8,1.8,0.1,4.8,4.4,1.1,1535,20801,7418,3871.5,189.5,36,287.5,0,42.5,738,794720,106665,176.6479828
Lowndes County,Alabama,4001,2.5,83.3,16.3,5.8,94.7,0.8,0.5,33.1,33125,23415,25.5,4823,2.8,3.7,1.5,0,0,77.5,83400,10153,52.3,5.8,22,19.4,24.6,74.9,0,0,0,0.6,0.2,0.1,112,1732,650,1499,60.5,0,180.75,0,0,267.75,76344,0,13.58548408
Macon County,Alabama,7131,2.33,82.7,20.6,8,90.7,1.2,1.7,23.5,41206,22449,25,9662,2.7,3.9,6,3.3,1.7,63,93900,19198,53.8,4.7,16.6,20.2,16.3,78.9,0,0.4,0,4.1,2.5,0.2,200,4482,1108,138,39,0,0,0,0,0,134879,20161,29.67671849
Madison County,Alabama,159569,2.37,92.2,45.1,11.2,83.9,5.5,6.9,21.9,78058,44720,10.7,171313,1.2,4.4,5.9,4.7,5.5,68,242900,389781,50.8,5.7,21.5,15.4,65.4,24.5,0.5,2.5,0.1,5.3,3.6,1.5,8881,176352,29527,3871.5,189.5,36,287.5,0,42.5,738,5427438,886039,465.2108621
Marengo County,Alabama,7379,2.56,89.1,22,8.4,94.1,1.4,2.3,27.6,42975,27210,21.5,9834,3.8,4,2.8,1,1.1,68.3,98600,19180,52.6,6.4,22.7,19.9,45.4,50.8,0.3,0.8,0,1.9,1.5,0.2,440,5736,1239,403,0,0,0,0,0,0,220652,0,19.3091841
Marion County,Alabama,11018,2.59,80.6,11.8,6.9,91.3,1,2.5,27.2,49743,25205,16.4,14143,5.3,4.1,3.6,0.2,1.2,72.9,104300,29203,50.3,4.9,21.1,20.9,91.3,3.8,0.3,0.3,0,2.6,2.7,0.1,548,8948,1802,425,0,0,0,0,0,0,257158,0,40.0206276
Marshall County,Alabama,35930,2.69,84.4,21.4,7.6,90.7,7.1,13.3,25.3,58272,29509,16.6,41328,2.5,2.1,2.7,0.8,1.1,75.4,165600,97923,50.3,7,25.2,17.2,85.8,2.8,0.9,0.6,0.1,5.5,7.7,5.8,1880,34387,8038,1550,0,0,32,0,0,236,1535843,166335,171.0256222
Mobile County,Alabama,159605,2.54,88.1,24.2,8.3,88.3,3.2,4.4,26,55352,30482,17.6,184845,1.4,2.3,4.8,5.2,4.9,63.5,164600,413878,52,6.4,23.2,16.7,56.7,36.3,0.4,2,0,3.4,2.3,1.1,9283,147818,36656,6043,175,0,553,0,63,746,5607815,791905,336.1041832
Monroe County,Alabama,7298,2.68,83.7,13.5,5.9,94,0.4,0.9,24,39965,23090,22.9,10214,2.4,1.9,2.3,0.7,0.7,72.4,109300,19816,50.8,3.1,21.1,21,53.7,42.3,1.3,0.2,0.1,2.2,0.2,0.1,397,5036,1452,344,0,0,0,0,0,0,225437,0,20.21412931
Montgomery County,Alabama,89721,2.45,88,33.7,8.9,80.4,4.8,6.3,20.8,56707,32769,19.6,105488,1.4,4.3,8.2,4.4,4.7,57.2,151300,228132,52.8,6.7,23.6,15.6,32.8,59.1,0.1,3.3,0,3.3,2.6,1.2,5523,101354,17010,1499,60.5,0,180.75,0,0,267.75,3448892,861718,288.3927702
Morgan County,Alabama,48004,2.52,85.2,23.8,7.8,90.4,5.1,8.5,23.7,61588,33223,13.7,53324,1.4,3.4,4.7,2.2,2.9,72.7,174800,123102,50.5,6,22.9,17.9,76.4,13.5,0.4,0.5,0,5.1,6.4,1.9,2637,45448,7998,1306.5,0,0,0,0,4.5,262.5,1774908,0,206.4855365
Perry County,Alabama,3075,2.46,79.6,15.2,3.7,89.9,0.6,0.9,22.9,32332,16581,32.8,3985,6.2,6.2,1.9,0.5,0,70.1,81700,8479,53.9,6.1,21.1,20.5,28.4,70.8,0,0.1,0,0.6,0.2,0.1,106,1509,623,103,0,0,0,0,0,0,33183,5788,12.39897807
Pickens County,Alabama,7083,2.43,84.9,14.5,7.1,87.9,4.1,5.4,36.5,45339,26912,22.3,8714,3.1,3.5,1.5,1.4,0.9,74.2,119800,18925,51.7,5,19.3,19.4,57.5,39.7,0.2,0.1,0,1.9,1.1,2.7,246,2549,1236,1329.333333,0,0,123.6666667,0,0,180,94450,0,22.61315442
Pike County,Alabama,11996,2.55,87.9,27.7,7.3,84.9,4,5,20.3,42616,26685,23.6,16049,3.2,6,2.7,3.9,1.5,63,144500,32997,52,5.1,18.9,15.3,56.6,37.3,0.3,2,0,3.4,1.5,0.7,647,13107,1998,568,0,0,0,0,0,0,416321,70387,49.27181503
Randolph County,Alabama,8729,2.47,82,18.8,5.9,90.9,1.5,2.5,31.7,49879,27558,19.9,12412,0.9,1.1,1.5,0.2,0.7,79.2,155000,22179,51.4,5.6,20.9,20.9,77,19,0.1,0.3,0,2.9,1.6,0.4,348,3821,1480,301,0,0,0,0,0,30,183363,0,39.13878929
Russell County,Alabama,23462,2.48,85.2,16.4,13.2,85.4,2.9,5.7,26,47420,25855,22,27382,2.7,4.8,6.3,3.3,1.5,61.2,141900,58849,52.2,6.7,24.1,14.9,46.9,44.9,0.2,0.8,0.1,5.1,3.8,1.9,831,10785,3829,865.8,0,3.2,0,0,0,0,514409,90443,90.39878422
Shelby County,Alabama,83776,2.63,93.8,45.6,7,87.4,5,7.7,29.7,90618,45701,6.9,89612,0.4,1,2.4,3.9,3.2,80.9,276500,223916,51.2,5.3,22.8,16.2,78,13,0.2,2,0,3.9,4.3,1.7,5447,84466,20429,2755,150.5714286,0,206,0,48.42857143,465.1428571,3607350,451842,277.1918255
St. Clair County,Alabama,33838,2.65,87.3,19.3,7.4,89.2,1.5,2.9,31,73218,33571,10.9,38133,0.6,1.4,1.7,0.6,0.5,81.7,202000,91719,50.2,5.4,22.3,17.4,85.2,9.8,0.3,0.4,0.1,2.8,2.2,0.3,1416,16729,6526,2755,150.5714286,0,206,0,48.42857143,465.1428571,811530,118143,141.7269075
Sumter County,Alabama,4798,2.26,88.8,21.8,3.5,85.9,1.2,2.6,24.7,31726,19720,30.4,6329,4.9,1.1,1.6,0.2,1.9,69.3,88000,12196,54.2,5.4,18.9,18.6,25.5,72.3,0.1,0.5,0,1.6,0.9,0.2,193,2617,770,151,0,0,0,0,0,0,53983,0,13.74932539
Talladega County,Alabama,32359,2.39,83.2,16.6,7.3,87.9,1.9,3.4,26.8,52457,29236,18.7,38088,2.7,2.5,1.9,0.7,1.2,71.9,131900,81105,51.4,5.3,20.7,18.6,63.1,31.9,0.2,0.4,0.1,3.1,1.7,0.5,1244,24910,4538,942,0,0,0,0,0,129,781851,0,108.5483499
Tallapoosa County,Alabama,16438,2.46,81.9,18.2,8.4,87.2,1.7,3.8,28.1,53282,29682,16.8,22777,1.3,2.5,1.8,1.9,2,75.5,127100,41251,51.5,5.4,20.4,22.3,69.1,26.6,0.1,0.5,0,2.8,2.1,0.5,789,10198,2829,664,0,0,43,0,0,0,415096,52900,56.33743492
Tuscaloosa County,Alabama,84743,2.58,90.6,30.9,6.3,83,3.5,5.2,22.9,61645,32141,16.7,101330,2.3,3.5,6.6,7.6,9.3,62.3,218800,231558,51.7,5.6,20.4,13.6,62.1,32.1,0.2,1.6,0,3.1,2.4,1.3,4166,78856,15497,1329.333333,0,0,123.6666667,0,0,180,2760136,0,158.4990799
Walker County,Alabama,24718,2.59,82.7,15.3,6.3,90.7,1.1,2.6,30,52987,28204,16.4,30127,1.6,2.1,3,0.5,0.3,77.5,124100,64978,50.6,5.7,22.2,19.6,88.6,6,0.2,0.2,0,3.4,2.9,1,1247,13937,3785,2755,150.5714286,0,206,0,48.42857143,465.1428571,949064,91232,80.30445929
Washington County,Alabama,5506,2.78,88.3,14.2,6,93,0.7,1.1,34.6,51184,29210,15.8,7779,0.1,1.1,0.3,0,0,88.4,138100,15434,50.3,5.5,20.6,19.8,66.7,23.4,6.8,0.4,0,2.6,0.1,0.1,209,5293,1038,189,0,0,0,0,0,0,70538,0,15.11378523
Wilcox County,Alabama,3579,2.86,77.7,11.6,6,89,0.5,2.4,27.2,38208,20442,26.8,5314,0.4,2.2,0.9,0.1,0,79.5,83200,10441,53.1,6.3,23,20.8,27.5,70.2,0.1,0,0,2.1,0,0.1,180,1931,700,206,0,0,0,0,0,26,75416,0,11.67538847
Winston County,Alabama,9103,2.55,80,13.8,6.7,91.1,1.9,2.5,29.5,49494,26933,18.2,13091,1.5,1.4,1.5,0.7,0.4,78.2,111600,23655,50.3,5.2,20.2,21.7,93.2,1.1,0.5,0.4,0,3.1,2.9,1.9,411,7749,1671,378,0,0,0,0,0,47,158252,0,38.54767233
Aleutians East Borough,Alaska,899,2.41,81,16.9,4.3,83.1,32.3,40.2,6,79961,42165,12.6,1089,7,7.8,1.9,3.6,0,58.8,164100,3407,38.3,3.2,12.2,11.6,16.9,5.4,37.1,19.8,0.3,12.4,10.9,2.9,58,1839,218,46,0,0,0,0,0,0,0,2561,0.477726502
Aleutians West Census Area,Alaska,969,3.82,89.5,15.4,6.1,76.6,44,57.3,6.1,100662,47339,9.6,1403,17.6,22.2,11.8,5.7,13.3,27.7,377100,5219,33.2,4.2,17,6.3,26,3.9,9.3,40.7,3.5,11.2,11.7,1.5,115,2987,189,78,0,0,0,0,0,0,50255,14848,1.282072149
Anchorage Municipality,Alaska,107134,2.64,94.2,37,11.8,83.4,10.8,17.5,19.1,95731,46554,9.6,118938,5.8,10.9,6.3,4,7.8,63.8,363800,290674,48.7,6.7,23.9,12,59.2,5.3,7.4,9.8,2.9,12.7,4.9,2.9,8769,135205,21989,4481.5,82.5,0,0,0,187.5,1178.5,4903204,1224848,168.7368238
Bethel Census Area,Alaska,4565,3.82,82.7,9.7,5.8,90.9,2.2,60.1,7.1,64094,25859,25.3,6003,6.4,3.9,0.5,1.3,3.5,59,120600,18538,46.5,10.6,34.8,7.7,9.1,1.2,83.4,1.4,0.2,4.3,0.9,1.2,213,2181,784,154,0,0,0,0,0,38,156181,6347,0.452515847
Bristol Bay Borough,Alaska,284,2.56,95,26.3,8.4,75.3,9.3,15.7,11.1,94167,45499,7.9,875,2.4,4.1,5.6,1.4,0.9,50.7,253400,854,42.7,7.7,19.1,12.6,45.3,0.4,31.5,5.6,2,12.6,4.7,0.8,105,420,172,68,0,0,0,0,0,0,15090,20095,1.734509599
Denali Borough,Alaska,525,2.3,96.7,25.1,9.7,89,9.5,10,14.6,87292,73692,7.3,1385,1.4,3.7,0.8,2.4,0.8,86.9,227000,2101,32.6,3,12.9,14.1,75.7,2.3,3,3.5,0,13.3,2.6,1,105,910,170,73,0,0,0,0,0,0,18945,103445,0.165941797
Dillingham Census Area,Alaska,1384,3.21,88.1,20.5,2.9,89,3.2,36.5,8.9,69412,31948,15.9,2417,3,6.2,4.6,3,0,60.8,167700,4854,48.7,8.6,30.2,11.7,16,1.6,71.1,1.6,0.1,9.7,0.4,0.7,108,1143,778,68,0,0,0,0,0,0,48065,5360,0.268170206
Fairbanks North Star Borough,Alaska,35824,2.58,94.7,32.9,14.6,81.7,5.3,10.1,19.2,81655,42744,6.9,42772,6,7.6,6,2.8,5.7,60,276800,96299,45.7,7.1,23.8,11.8,71.4,4.1,7,3.1,0.7,11.9,5.1,2.1,2542,25881,6355,2128,5,0,18,0,0,0,1484828,250748,13.2134303
Haines Borough,Alaska,786,2.57,97.7,33.7,12,89.9,4.5,7.4,13.2,68276,33585,5.8,1410,4.3,0.9,2.2,1.4,0.2,69.7,289200,2079,48.1,3.7,30.2,21.6,80.9,0,6.2,3.3,0,9.5,0.3,0.1,135,560,380,142,0,0,0,0,0,31,24608,5957,1.079108808
Hoonah-Angoon Census Area,Alaska,867,2.51,94,27.5,10.1,86.9,2.5,13.2,14.1,62344,39257,11.6,1708,5.1,1.9,1.2,1.1,0,74.5,243800,2329,44.2,3.2,13.3,24,53.2,0.4,28.9,0.8,0.2,16.6,3.5,2.4,83,266,287,47,0,0,0,0,0,0,16438,11021,0.327615156
Juneau City and Borough,Alaska,13017,2.42,95.4,40.7,8,86.4,8.5,11.1,16,95711,49207,6.9,14073,5.7,5.1,7.6,5.6,8.4,64.3,404600,32108,48.7,5.2,20.6,14.8,64,1.1,9.4,7.2,1.4,15,5.1,2.2,1109,10403,2668,955,0,0,30,0,0,155,464789,112897,11.82481046
Kenai Peninsula Borough,Alaska,23201,2.48,94.2,28,10.5,86,3.7,7.4,19.7,76272,40720,12.5,32567,2.8,4.3,2.2,1.4,1.1,76.8,280900,59235,47.5,5.7,22.1,18.6,79.6,0.7,7.4,1.7,0.4,8.5,3.8,1.4,2287,15063,7089,1877,0,0,39,0,74,382,817082,174825,3.663939379
Ketchikan Gateway Borough,Alaska,5568,2.45,94.7,28.5,8.8,88.1,9,11.2,14,82763,44368,9.7,6615,13.6,6.6,5.2,3.2,8.4,65.7,361000,13910,48,5.4,21,16.7,64,0.7,14.6,8.5,0.2,10.5,3.3,1.9,576,4285,1335,643,0,0,0,0,0,88,243592,56315,2.862098725
