NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density,Outcome
Colbert County,Alabama,21797,2.5,85.7,17.4,8.2,92.1,1.6,2.4,22.8,47962,25807,15.5,26727,3.6,4.6,3.6,1.2,1.1,71.6,125400,54957,51.9,5.6,20.9,19.8,78.8,16.2,0.6,0.5,0.1,2.1,2.9,78,1235,23985,3710,1008,0,0,0,0,0,108,841235,88153,93.1952259,R
Conecuh County,Alabama,4585,2.66,85,13.8,4.9,97.4,1,0.5,29.6,35444,20756,16.6,7203,2.2,3.6,2.2,0,0.8,74.7,83900,12219,51.3,3.7,20.8,22.7,50.5,48.1,0.2,0.6,0,0.7,0.5,50.1,203,2594,716,152,0,0,0,0,0,0,106876,0,14.19313066,R
Coosa County,Alabama,4016,2.57,83.2,11.6,9.4,88.3,0.5,1.3,28,43571,25083,12.5,6615,0.5,0.5,2.8,0.1,0.3,81.1,89200,10696,48.6,4.3,16.5,23.3,65.9,32.3,0.3,0,0,0.9,1.3,64.7,101,1090,432,89,0,0,0,0,0,0,21878,0,16.38166426,R
Covington County,Alabama,14995,2.43,85.3,15.6,9.9,91.3,0.8,1.9,24.7,42566,25303,17.7,19073,1,2.5,2.7,0.4,0.6,74.3,99600,37096,51.4,5.8,21.7,21.2,84.3,12.7,0.2,0.7,0.1,1.7,1.8,83.1,816,9727,2299,731,0,0,49,0,0,118,461752,0,35.95040862,R
Crenshaw County,Alabama,5011,2.72,78.8,18.5,6.3,91.5,1.7,2.8,30,42611,26351,14.6,6834,3.6,1.6,0.8,0.1,0.5,76.7,84400,13826,52.3,5.3,22.3,19.3,71.5,23.6,0.8,1.3,0.1,2.3,2.2,70.7,220,3247,805,219,0,0,0,0,0,27,66953,0,22.61913911,R
Cullman County,Alabama,31733,2.59,82.3,15.4,8.1,89,2.5,3.7,26,48388,24770,12.7,38056,1.5,2,1.8,1.2,1.6,74.8,135200,83345,50.7,6.2,22.4,18.4,93.9,1.1,0.4,0.4,0,3.3,4.4,91.4,1747,26082,6224,1609,0,0,0,0,0,339,1191283,151508,114.0102165,R
Dale County,Alabama,19405,2.47,85.3,18.2,14.8,81,3,6.2,22.2,45644,24473,18.4,23151,2.9,5,3.1,0.7,0.4,58.6,113800,49293,50.8,6.6,23,16.9,71.6,20.7,0.8,1.4,0,3.3,6.7,68.2,702,10759,2728,608,0,0,0,0,0,103,373924,58590,87.63486445,R
Dallas County,Alabama,15409,2.44,83.9,16.6,5.8,90.2,0.9,0.9,24.5,33317,19653,29.2,20427,8.5,6.5,3.3,0.7,1.1,56.7,84100,38184,53.9,6.2,24.1,18,27.2,71.5,0.1,0.7,0,0.5,0.3,27.1,675,9312,2055,666,22,0,0,0,0,55,359988,44189,38.00404296,D
DeKalb County,Alabama,26365,2.67,78,14,6.5,89.8,7.2,13,25.2,42267,22511,20.7,31424,1.7,2.3,1.5,0.7,0.4,73.1,113600,71430,50.6,6,24.3,17,84.8,1.5,1.2,0.1,0.1,3.5,14.7,80.3,1119,18309,5088,907,0,0,0,0,0,134,695901,97911,92.02562542,R
Elmore County,Alabama,29794,2.58,87.3,25.8,10.7,86.2,2,3.4,26.4,62324,29585,10.6,34332,0.7,1.9,2.4,2,0.8,75.2,171100,81526,51.7,5.8,22.3,15.5,74.9,21.1,0.3,0.9,0,2,3,73.1,1227,14667,5666,872,0,0,0,0,0,133,774369,454770,131.3112898,R
Escambia County,Alabama,12931,2.61,80.4,12.5,7.5,93.8,0.8,1.8,20.9,35558,18587,23.8,16618,2.1,5,5.1,0.4,0.5,66.5,100800,36775,49.2,5.8,22.4,18.1,61.9,32,3.8,0.3,0.1,1.5,2.4,60.1,750,9744,2084,602,0,0,0,0,0,82,426491,303159,38.75595138,R
Etowah County,Alabama,38765,2.62,85.3,17.7,8.1,87.9,2.7,4.4,25,44934,25094,16,47805,1.8,3.1,3,1.4,1.8,73,124400,102721,51.8,5.8,21.5,19,79.1,16.1,0.5,0.8,0,2.2,4.1,77.6,1911,29096,7565,1557,0,0,0,0,32,245,1319759,187612,191.1236447,R
Fayette County,Alabama,6805,2.37,84.2,12.3,7.5,88.2,1,1.4,30.7,41469,23389,20.8,8493,2.6,1.6,2.8,1.1,1.2,75.2,92400,16406,50.9,5.6,21.2,20.9,84.6,12.2,0,0.7,0,2.5,0.5,84.2,263,3079,1034,232,0,0,0,0,0,33,133967,0,25.97167909,R
Franklin County,Alabama,11017,2.85,78.7,15,5.3,93.3,9.1,16.3,28.7,41174,21503,19.7,14082,2.5,1.9,5,0.4,2.3,71.1,103000,31587,50.5,7.3,25,16.5,82.4,3.9,1,0.9,0,1.7,17.7,76.3,524,11329,1800,438,0,0,0,0,0,51,236374,0,49.47323381,R
Geneva County,Alabama,10572,2.47,81.8,13.1,10.9,89.7,1.6,2.6,27.8,41569,22415,21.8,12901,2.1,0.8,1.2,0,0.3,75.2,108400,26383,51.5,5.5,22,20.3,86,10.2,1.2,0.2,0,1.5,4.1,83.2,410,3761,1684,367,0,0,0,0,0,37,162037,0,45.73000976,R
Greene County,Alabama,3178,2.55,80.9,10.1,7.7,97.7,0.8,0.8,33.5,26688,16425,36.4,5131,0.2,0.4,0.3,1,2.3,68.6,76200,8221,52.6,6,21.5,22.3,17.4,78.9,0.5,0,0,2.7,2.7,17.2,101,1434,519,87,0,0,0,0,0,0,35967,2748,12.53587396,D
Hale County,Alabama,5490,2.65,80.7,15.6,7,93.5,0.3,1.3,32.7,30793,20652,24.6,7847,0.6,1.4,1.2,0,1,75.7,91500,14754,52.5,6.7,23.2,19.3,38.4,59.1,0,0.2,0,2.1,0.1,38.4,177,1931,953,157,0,0,0,0,0,0,73312,7078,22.75047109,D
Henry County,Alabama,6556,2.56,80.5,18.9,9.8,92.7,0.9,2.6,25.8,51715,26011,15.2,9203,2.4,0.3,1.2,0.8,0.3,83.5,119000,17123,51.8,5.1,20.8,22.5,70,26.6,0.2,0.4,0.2,1.7,2.6,69.3,291,3323,1183,227,0,0,0,0,0,29,85805,0,30.62748517,R
Houston County,Alabama,39784,2.62,86.9,22.1,9.5,89.2,2.4,3.9,21.4,49069,27794,17.6,47798,2.8,3.7,4.2,2.6,2,65.9,141800,105319,52.1,6.2,23.1,17.7,68.2,27.2,0.3,0.9,0,2.7,3.4,65.8,2697,44738,7833,2119,0,0,38,0,0,341,2218890,280247,182.6005725,R
Jackson County,Alabama,20367,2.51,83.5,16.2,7.5,94.1,1.5,2,26.8,42578,23844,17.9,25135,2,1.3,1.8,1.2,0.3,77.2,107900,51765,51.1,5.1,21,20,91.2,3.7,1.1,0.4,0.1,2.7,3,89.2,823,12308,3232,690,0,0,35,0,0,65,498610,64093,47.89110463,R
Jefferson County,Alabama,263801,2.44,90.5,34.1,7.1,84.8,3.8,5.8,24.3,55088,33343,15.7,308825,1.7,3.7,6.3,6.3,7.7,63.2,165000,658615,52.7,6.4,22.8,15.8,51.4,42.9,0.2,1.6,0,2.2,3.9,49.6,16522,341139,51841,12383,474,0,764,0,0,1998,10348528,1810089,592.5535158,D
Lamar County,Alabama,5631,2.43,83,11.3,6.5,89.5,0.9,0.6,26,42688,22299,17.7,7410,6.2,2.6,3,2.5,0.6,72.8,95400,13854,50.6,5.7,22,21.6,87.4,11,0.1,0.2,0,1,1.7,86,244,3324,886,219,0,0,0,0,0,0,82743,0,22.82398056,R
Lauderdale County,Alabama,38513,2.36,88.6,25.1,8.2,81.5,2.1,3.3,24.7,48428,28540,13,45272,2.8,2.6,5.5,3.3,3.7,68.1,149500,92870,52,5.1,19.7,20,85.9,10.2,0.4,0.6,0.1,2.4,2.8,84.1,1943,25711,6786,1537,0,0,0,0,0,204,1279788,197417,138.8131328,R
Lawrence County,Alabama,12551,2.61,80.8,15.8,6.5,90.3,0.8,1.9,28.8,47125,24779,16.8,15333,0.5,1.8,1.9,0.5,0.2,78.4,113800,32969,52.1,5.4,21.6,18,78.2,10.7,6,0.1,0.1,4.4,2.3,76.5,409,3444,1952,362,0,21,0,0,0,0,202934,0,47.66866176,R
Lee County,Alabama,60731,2.59,90.4,36.4,7.8,82.7,5.5,7.2,23.1,52930,28804,19.4,70256,4.4,2.7,4.5,5.4,7.7,63.4,173700,163461,50.8,5.8,21.1,12.1,69.7,22.7,0.2,4.4,0,2.3,3.7,67.1,2979,47269,11325,2233,37,0,142,0,0,366,1901857,371427,270.8343221,R
Limestone County,Alabama,32725,2.87,85.3,24.9,9.4,87.5,3.3,6.2,26.8,64270,28695,12.7,36278,1.4,2.8,2.1,1.4,2.1,76.8,167800,96921,50.1,5.6,22.5,15.3,78.9,13.5,0.9,1.5,0,3,6,75.8,1478,19861,6983,1173,26,0,0,0,0,0,794720,106665,176.6479828,R
Lowndes County,Alabama,4213,2.33,82.2,14.7,4.5,91,0.7,0.5,30.5,33634,21298,22.4,5251,3.3,2.5,0.4,0,0,75.1,66500,9936,52.3,6.1,22.3,18.9,24.8,74.9,0.1,0,0,0.2,0.4,24.7,109,1617,624,114,0,0,0,0,0,0,76344,0,13.58548408,D
Macon County,Alabama,7592,2.14,83.6,20.5,8.8,91.2,0.6,2,24.3,35450,22170,23.4,10311,2.9,5.5,4.5,2.7,0.5,64.8,82400,18437,54.5,4.8,17.3,19.9,16.3,82.2,0.1,0.2,0,1.1,0.4,16.1,203,4821,983,138,39,0,0,0,0,0,134879,20161,29.67671849,D
Madison County,Alabama,151628,2.37,91.7,43.8,11.4,83.4,5.4,7,21.9,66887,38192,11.4,164100,1.2,3.8,6.4,5.4,5.2,67.7,190200,367686,51.2,5.9,21.8,15,67.3,24.6,0.6,2.6,0.1,3.3,5,64.4,8658,180152,27285,6592,210,63,383,0,105,1214,5427438,886039,465.2108621,R
Marengo County,Alabama,7499,2.52,85.4,17.1,8.1,91.9,1.1,1.4,26.4,33029,27975,21.6,10377,3.2,2.9,4.2,0.8,0.9,69.8,82200,19138,53,6.5,23.2,19.7,46.6,51.8,0.1,0,0,1.3,2.6,44.8,439,6148,1086,403,0,0,0,0,0,0,220652,0,19.3091841,D
Marion County,Alabama,11780,2.48,81.1,13.3,6.2,91.2,1.4,3.4,24.2,40978,22486,17.3,14754,4.1,3.3,3.4,0.2,0.9,75.9,87700,29818,50.5,5.1,20.8,21.2,92.3,3.8,0.5,0.1,0,1.8,2.6,91.3,534,8671,1840,425,0,0,0,0,0,0,257158,0,40.0206276,R
Marshall County,Alabama,35115,2.71,83.3,20.7,8,89.4,7.1,12.9,24.6,50216,25861,19.1,40661,2.5,2.4,2.6,0.8,0.8,72.9,141300,96137,50.6,7,25,17.2,90.3,2.9,0.4,0.6,0,3.7,14.1,80.5,1864,35990,8030,1550,0,0,32,0,0,236,1535843,166335,171.0256222,R
Mobile County,Alabama,157557,2.58,87.3,24.4,8.9,88.3,3.1,4.4,25.6,49625,26778,17.9,184321,1.4,2.6,4.6,4.6,4.8,64.1,138400,413977,52.4,6.6,23.5,16.2,58,36.1,0.7,1.9,0,2.2,2.9,56.5,8771,153378,31953,6569,198,0,350,0,95,995,5607815,791905,336.1041832,R
Monroe County,Alabama,8050,2.58,83.5,13.5,6.7,93.5,0.8,0.6,22.8,31969,21885,24,11451,2.5,1.7,2.8,0.6,0.9,67.9,100900,21006,51.9,5.1,21.7,20,54.4,42.5,1.4,0.6,0.1,1,0.4,54.1,394,5297,1363,344,0,0,0,0,0,0,225437,0,20.21412931,R
Montgomery County,Alabama,89511,2.45,87.3,33.7,9.4,79.6,4.7,6.1,20.9,51963,29543,18.8,105063,1.4,4.3,8.6,4.2,4.8,57.6,130000,226451,52.9,6.8,23.5,15,34.7,57.9,0.2,3.1,0,2.8,3.5,33.2,5493,104870,16024,4238,231,0,413,0,0,694,3448892,861718,288.3927702,D
Morgan County,Alabama,46388,2.53,84,21.3,7.6,90,4.5,8,23.4,52923,28474,14.9,52248,1.5,3.6,4.9,2.1,2.7,72.2,143900,119352,50.7,6.1,22.9,17.5,78.6,12.7,0.4,0.6,0.2,3.5,8.4,75.3,2605,46641,7841,2375,0,0,0,0,0,388,1774908,0,206.4855365,R
Perry County,Alabama,3140,2.64,78.4,17.8,3.7,93.4,2.1,3,27.7,23875,13833,36.1,4759,1.1,4.7,1.1,0.9,0,78.3,80100,9104,52.3,5.5,21.2,19.5,29.6,69.1,0,0.1,0,0,2,29.5,115,1578,503,103,0,0,0,0,0,0,33183,5788,12.39897807,D
Pickens County,Alabama,7731,2.37,82.9,14.4,7.5,88.7,3.7,5,35.9,40362,23476,24.7,9620,3.8,3,1.8,0.9,0.7,75.9,100000,20049,52.2,5.2,19.7,18.9,56.8,40.3,0.2,0,0,1.4,4.9,53.6,250,2629,1099,210,0,0,0,0,0,0,94450,0,22.61315442,R
Pike County,Alabama,11700,2.69,87.4,29.6,8.1,84.8,4.2,5.4,22,39218,23784,23,16241,3.7,6.2,3.4,3.2,2.4,63.5,131600,33274,51.9,5.4,18.9,15.4,57.8,37.3,0.4,2.1,0,2.3,2.3,55.9,642,12389,1827,568,0,0,0,0,0,0,416321,70387,49.27181503,R
Randolph County,Alabama,8655,2.57,81.9,17.1,7,89.9,1.6,2.7,29.9,45141,24744,18.8,12147,1.4,0.8,1,0.7,0.6,79.2,119500,22732,51.5,5.8,21.2,20.6,77.3,19,0.4,0.2,0,2.3,2.9,75.1,335,3985,1527,301,0,0,0,0,0,30,183363,0,39.13878929,R
Russell County,Alabama,23694,2.42,85.3,17.5,14.8,84.5,3.1,5.4,26,42208,24300,21.8,27912,3.3,5.4,5.5,3.2,1.1,60.5,126300,57938,52,7,24.1,14.3,47.8,44.9,0.1,1.2,0.1,3.3,5.6,45,820,11292,3478,589,0,0,0,0,0,0,514409,90443,90.39878422,D
Shelby County,Alabama,80756,2.64,93.2,44.2,7.6,86.8,5,7.5,29.6,78889,39711,6.9,88090,0.6,1.4,2.7,4.1,3.7,80.4,220700,216350,51.7,5.7,23.4,15.4,79.8,12.1,0.4,2,0,3.1,5.7,77.4,5307,86433,19678,4370,37,0,116,0,0,640,3607350,451842,277.1918255,R
St. Clair County,Alabama,32765,2.65,85.8,18.1,8.9,88.4,1.7,3.1,30.4,62531,27941,11.4,36982,0.7,1.1,2.6,0.7,0.6,80.4,165900,88929,50.2,5.9,22.6,16.8,87,9.4,0.5,0.8,0,1.4,2.4,85.6,1363,18224,6237,1231,0,0,0,0,0,220,811530,118143,141.7269075,R
Sumter County,Alabama,5355,2.2,85.3,18.4,4.5,89.1,1.9,4.1,23.6,26150,16977,30.8,6917,4.9,3.8,2.4,1.2,3.2,62.9,67300,12595,54.4,5.7,19.3,18.2,25.3,71.4,0.1,2,0,1,1.2,24.9,193,2713,699,151,0,0,0,0,0,0,53983,0,13.74932539,D
Talladega County,Alabama,31741,2.42,81.8,15.3,8,87.5,2,3.5,25.4,43969,24244,17.8,38021,3.2,2.4,2.6,1.1,1.2,71.5,112300,80244,51.8,5.3,21.2,17.8,63.5,32.3,0.4,0.5,0.2,2.2,2.4,62.3,1254,25351,4164,942,0,0,0,0,0,129,781851,0,108.5483499,R
Tallapoosa County,Alabama,16359,2.43,81.2,18.8,8.4,87.2,1.6,2.7,28.2,48160,25640,16.5,22565,1.9,2.3,2,1.7,1.7,74.9,108300,40450,51.5,5.4,20.7,21.4,69.9,27.6,0.1,0.4,0,1.2,2.4,68.8,767,10256,2677,664,0,0,43,0,0,0,415096,52900,56.33743492,R
Tuscaloosa County,Alabama,74713,2.66,89.5,31.1,6.6,83.3,3.5,5.7,22.9,54283,27609,17.2,91719,2.5,3.3,6.5,7.9,8.4,62.9,179000,208854,51.9,6,21,13.3,63.3,32.2,0.2,1.6,0,1.7,3.8,61,4079,82006,13628,3266,82,0,0,0,0,476,2760136,0,158.4990799,R
Walker County,Alabama,25440,2.47,81.7,13.4,7.6,88,1.3,2.3,28.4,45833,25330,16.9,31238,1.8,2.7,2.2,0.5,0.3,77.9,109600,63802,50.9,6.1,22.2,19.4,89.6,6,0.3,0.4,0,2.7,2.6,88.3,1228,14351,3601,943,33,0,0,0,0,140,949064,91232,80.30445929,R
Washington County,Alabama,5830,2.78,85.9,14.4,6.7,93.6,1.3,0.6,33.8,42331,30391,14.8,8603,0,0.7,0.4,0,0,89.5,88100,16336,50.5,5,21.3,19.8,66,24.3,7.5,0.2,0,1.9,0.9,65.2,199,5419,1046,189,0,0,0,0,0,0,70538,0,15.11378523,R
Wilcox County,Alabama,3961,2.61,79.3,11.7,6.1,91.1,0.6,2.4,28.1,35063,19031,27.6,5804,0,3.3,1.8,0,0,69.9,67200,10552,53.8,6.4,23.8,19.5,27.2,70.3,0.1,0,0,2.4,0.5,26.8,170,2117,621,206,0,0,0,0,0,26,75416,0,11.67538847,D
Winston County,Alabama,9612,2.43,78.4,13.3,7.2,89,1.3,2,31.2,40991,23269,17.4,13700,1.6,1.5,1.2,0.9,0.5,80.3,87300,23712,50.9,5.2,20.4,21.8,95.6,0.8,0.3,0.4,0.1,1.8,3.1,93.5,425,7893,1620,378,0,0,0,0,0,47,158252,0,38.54767233,R
Apache County,Arizona,21505,3.28,81.5,12.5,6.1,94.1,1.4,54.3,27.3,33967,15781,34.4,32943,2.1,2.7,1.1,0.3,0.4,79.7,61800,71714,50.7,6.6,26.8,15.5,22,0.8,73.3,0.4,0.1,2.4,6.6,18.1,442,6429,2633,324,0,29,0,0,0,55,280498,53725,6.41977244,D
Cochise County,Arizona,50917,2.34,88.7,25.6,19.4,84.1,10.5,27.6,21.2,51505,28021,15.2,61380,0.6,2.4,2,3.3,2.7,69.1,150100,126442,49.1,5.8,21.5,22.2,82.1,4.1,1.2,1.9,0.3,8,35.5,54.6,2120,25545,6972,1733,0,0,81,0,182,331,1324442,183747,20.27811514,R
Coconino County,Arizona,49016,2.6,91,37.6,6,75.6,4.3,23.9,18.6,59000,27631,17.1,66807,2.8,3.1,5.2,4.8,4,60.8,299100,142254,50.7,5.4,20.4,12.6,63.1,1.4,26.1,1.9,0.1,4.4,14.4,53.8,3773,55308,9822,2984,0,53,175,0,159,507,2197125,1200030,7.706809246,D
Gila County,Arizona,22523,2.34,87.3,19.2,12.5,82.1,3.3,16.4,20,46907,26265,20,33714,0.6,2.3,1.2,0.2,0.7,75.2,174300,53846,50.5,5.3,19.8,28.9,74,0.7,16.1,0.8,0.1,4.9,19,61.9,1004,10699,3514,866,0,0,0,0,32,0,553038,124889,11.35309892,R
Graham County,Arizona,11348,3.06,85.3,14.8,6.3,82.3,2.3,21.8,22.9,55693,19878,21.2,13678,1.7,2.5,1.3,0.7,1.7,71.5,146600,38304,46.6,7.2,26.8,13.9,77.5,1.8,12.6,0.7,0.1,5.9,33.1,50.9,529,8013,1685,507,0,0,0,0,54,47,408423,40380,8.402863168,R
Greenlee County,Arizona,3295,2.84,85.2,16.8,7.8,83.9,2.6,18.1,17.9,66368,27618,13.3,4465,0.5,1.5,3.5,0.5,0.7,51,91800,9465,46.5,7.8,27.3,12.8,87.7,1.8,3.8,0.4,0,4.8,47.3,46.1,83,3699,244,61,0,0,0,0,0,0,64105,11922,5.15595627,R
La Paz County,Arizona,9928,2.1,80.5,11.8,16.1,87.7,10.1,19.5,14.4,34956,24039,22.9,16308,0.6,4.3,0.7,0.8,0.2,71.8,84600,21035,48.9,4.5,16,39.8,74.1,1,14.6,0.8,0,5.5,27.7,57.2,323,3717,867,312,0,0,0,0,0,30,450271,93820,4.694466489,R
Maricopa County,Arizona,1596784,2.73,88.4,33.4,7.6,83.4,14.7,26.6,26.5,67799,35090,12.7,1765880,1,3.8,4.9,5.2,9.8,63.2,278700,4412779,50.6,6.3,23.8,15.2,73.8,5.7,1.9,4.2,0.2,7.1,31.1,54.6,100346,1829257,360556,71555,897,414,4106,79,4274,13881,74333135,13229406,487.509549,D
Mohave County,Arizona,90413,2.29,86.4,13.4,14.3,82.6,6.2,10.6,21.8,47686,27968,16.2,115466,1.7,2.7,1.9,1.8,2.6,70.4,172100,210998,49.6,4.4,17.1,30.4,88,0.9,2,1.2,0.2,4.5,16.7,76.7,3949,45156,12613,3052,0,0,81,0,138,514,3063397,397400,15.91533296,R
Navajo County,Arizona,36406,2.95,83.8,16.1,8.9,86.6,2.6,36.4,22.1,43140,19623,25.3,58230,1.6,2,1.5,0.7,0.8,69.7,135800,110271,49.9,6.7,26.5,18.1,47.3,1.1,43.9,0.5,0.1,3.6,11.7,41.5,1788,19152,5937,1539,0,45,0,0,158,294,1197234,294898,11.14808127,R
Pima County,Arizona,410942,2.45,89,33.6,10.5,80.8,12.5,27.4,24.7,55023,30747,15.9,463236,1.8,3.2,3.6,4.9,8.5,64,199400,1038476,50.8,5.5,20.8,19.8,73.3,3.5,3.6,2.9,0.2,7.8,37.5,51.1,20408,330431,71774,15590,185,0,743,0,1312,3028,12230888,2877547,113.9747868,D
