NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density,Outcome
Etowah County,Alabama,39522,2.58,82.5,16.5,9.5,84.5,2.9,3.6,23.9,40478,21287,18.4,47504,2.7,2.2,3.4,1.5,1.7,71,101900,103363,51.6,5.6,22,17.4,81.3,15.4,0.5,0.7,0.1,1.5,103363,78.4,1974,30834,7267,1557,0,0,0,0,32,245,1319759,187612,191.6066379,R
Fayette County,Alabama,6850,2.4,79.2,14.1,9.3,88.2,0.6,0.4,29,36205,20201,17.3,8412,2.4,2.6,2,1.1,0.6,77.9,76400,16783,50.5,5.5,21.5,19.5,85.6,12.5,0,0.3,0,1.6,16783,85.2,314,3175,1071,232,0,0,0,0,0,33,133967,0,26.36040995,R
Franklin County,Alabama,11697,2.67,75.7,12.4,5.8,86.1,8.9,14.6,29.1,36138,18193,22.3,14050,2.4,2.6,4,1.1,2.3,68.8,87000,31573,50.7,6.7,24.3,16,89.1,4.5,1,0.3,0.1,1.1,31573,78.1,523,9646,1868,438,0,0,0,0,0,51,236374,0,49.90084622,R
Geneva County,Alabama,10657,2.49,77.7,11.7,10.2,85.2,1.7,3.2,27.3,36519,20189,22.8,12643,1.9,0.8,1.1,0.3,0,75.2,81500,26765,51.2,5.6,22.2,19,86.8,9.6,0.5,0.4,0,2.1,26765,84.1,407,3934,1521,367,0,0,0,0,0,37,162037,0,46.33289079,R
Greene County,Alabama,3107,2.75,76.9,10,5.8,95.2,0.3,1,31.2,21339,13679,37.9,4996,0.3,0,1.9,0.5,5.8,70.5,68100,8587,52.3,6,23.2,18,17.1,81.3,0.4,0.2,0,1,8587,17.1,111,1379,452,87,0,0,0,0,0,0,35967,2748,13.01489307,D
Hale County,Alabama,5948,2.51,81.4,14,6.1,93.6,1,2.5,29.3,33351,19296,25.9,7655,1.7,1.6,0.4,0.5,3,75.1,89400,15159,53,6.3,23.5,17.7,40,58.3,0.3,0.1,0.1,0.2,15159,40,180,1854,798,157,0,0,0,0,0,0,73312,7078,23.21944726,D
Henry County,Alabama,6831,2.48,80.7,16.1,9.7,91.1,1.7,2.8,25.7,41045,22825,15.3,8950,3.3,2.1,0,0.6,0.4,80.1,101800,17187,51.7,5.3,21.1,20.6,70.5,27.9,0,0,0,1.1,17187,68.6,298,2513,1058,227,0,0,0,0,0,29,85805,0,30.55449916,R
Houston County,Alabama,39363,2.61,84.9,21,11.2,86.7,2.3,3.9,21.6,41945,24086,18.9,46385,2.6,3.6,4.6,2.4,1.8,64.4,124800,103891,52.1,6.2,23.8,16,69.6,26.6,0.4,0.8,0,1.8,103891,67.5,2704,43799,7150,2119,0,0,38,0,0,341,2218890,280247,179.448239,R
Jackson County,Alabama,19945,2.6,79.5,12.6,8.7,92.8,2.3,2.2,25.4,38422,20487,18.8,24773,2.7,1.2,3,0.8,0.2,72.8,103800,52608,51,5,21.7,18.5,91.1,3.3,0.9,0.4,0.1,3.2,52608,89.5,846,13259,3121,690,0,0,35,0,0,65,498610,64093,48.37143864,R
Jefferson County,Alabama,261773,2.46,89,31.4,8,83.7,3.9,6,23.6,47220,28162,18.1,305262,1.7,3.2,6.1,6.8,6.9,63,145700,659096,52.7,6.5,23.1,14.3,52.4,42.5,0.2,1.5,0,1.5,659096,50.7,16484,314992,47895,12383,474,0,764,0,0,1998,10348528,1810089,593.4741029,D
Lamar County,Alabama,6010,2.31,77.4,13.1,8,86.8,0.8,1.3,28,34298,20206,23.9,7327,6.7,1.2,2.8,0,0.5,73.1,71100,14066,51.6,5.2,21.7,20.2,87.6,11.3,0.3,0,0,0.3,14066,86.1,240,3141,946,219,0,0,0,0,0,0,82743,0,23.01080486,R
Lauderdale County,Alabama,38361,2.36,84.9,21.7,8.9,84.4,2.1,2.9,24.7,43657,24893,18.3,44313,2.3,3.7,5.3,2.6,2.4,68.6,124100,92641,52.2,5.1,20.5,18.3,87,9.9,0.4,0.7,0,1.8,92641,85,2031,25563,6424,1537,0,0,0,0,0,204,1279788,197417,138.2627654,R
Lawrence County,Alabama,13321,2.49,77.5,10.3,6.6,90.5,0.7,1.2,27.9,42339,21911,18.3,15181,1.3,1.5,2,0.6,0.4,79.8,97600,33433,51.3,5.5,21.9,16.2,78.1,11.4,4.9,0.1,0,5.5,33433,76.7,387,3138,1947,362,0,21,0,0,0,0,202934,0,48.13245208,R
Lee County,Alabama,57901,2.56,88.7,34.4,8.4,77.1,5.2,7.3,22.1,45056,24951,23,65701,4.9,2.4,4.5,7.1,5.8,58.8,156400,153947,50.6,5.9,21.8,10.3,69.9,23.2,0.1,3.6,0,1.5,153947,67.9,2726,43945,10154,2233,37,0,142,0,0,366,1901857,371427,261.6911891,R
Limestone County,Alabama,32073,2.72,83.2,23.3,9.7,87.3,4.3,6.3,25.6,51115,26086,14.1,35515,1.7,1.7,2,1.4,1.9,76,142500,90257,50,6,23.4,13.9,81.5,12.7,0.6,1.2,0,2.5,90257,77.4,1372,16958,5810,1173,26,0,0,0,0,0,794720,106665,165.6482674,R
Lowndes County,Alabama,4238,2.47,74.8,12.3,5.4,91.1,0.3,0.7,30.4,27914,18434,28.7,5081,3.4,3.2,0.4,0.1,0.1,73.6,68900,10565,52.2,6.4,23.2,17.3,24.7,74.6,0.1,0,0,0.6,10565,24.4,103,1969,655,114,0,0,0,0,0,0,76344,0,14.46826895,D
Macon County,Alabama,7915,2.2,80.5,20,9,85.4,1.1,3.6,21.8,32390,18385,25.5,10222,3,5.1,5.3,1.5,0.6,66,77000,19684,53.9,4.8,18,16.7,15.8,82.1,0.3,0.2,0,0.7,19684,15.4,200,5244,967,138,39,0,0,0,0,0,134879,20161,31.14262493,D
Madison County,Alabama,139949,2.44,90.8,40.7,12.1,84.7,5.6,6.7,21.1,60150,33264,13.3,154710,1.5,4,6.4,5.3,4.3,68,171200,349973,51.1,5.9,22.5,13.7,68.8,24.2,0.6,2.4,0.1,2.9,349973,65.4,8325,158629,24256,6592,210,63,383,0,105,1214,5427438,886039,445.3132448,R
Marengo County,Alabama,8149,2.43,83.9,14.8,6.1,89.8,0.9,1.5,25.4,30713,20359,27.8,10208,1.8,2,3.7,0.7,1.8,69.7,87900,20066,53,6,23.1,18.6,45.7,52.8,0.2,0.2,0,0.3,20066,45.5,467,6045,975,403,0,0,0,0,0,0,220652,0,20.13856603,D
Marion County,Alabama,12486,2.37,79.9,12.5,7.7,86.8,1.6,2.8,24.5,34074,20998,18.6,14702,3.1,2.8,1.6,0.9,0.8,76.5,85500,30239,50.5,5.1,21.1,20.1,93.4,3.3,0.4,0.3,0,2,30239,92,531,7656,1808,425,0,0,0,0,0,0,257158,0,40.41266557,R
Marshall County,Alabama,34461,2.71,78.6,16.6,9.2,85.8,7.2,11,23.9,39831,21767,20.5,40352,2.5,2.3,3,0.7,0.9,70.6,115700,94534,50.7,6.6,24.7,16.4,92.5,2.1,0.6,0.6,0,1.8,94534,82.3,1805,30833,7146,1550,0,0,32,0,0,236,1535843,166335,168.1688404,R
Mobile County,Alabama,154261,2.62,85.8,22.5,9.4,86.2,3.1,4.9,24.7,44263,23318,19.5,181612,2,3.1,5.2,3.6,4.5,66,123500,414291,52.1,6.6,24,14.5,59.6,35.3,0.6,2,0,1.7,414291,57.9,8736,151652,30532,6569,198,0,350,0,95,995,5607815,791905,337.4296312,R
Monroe County,Alabama,8316,2.61,82,12.4,7,91.4,0.2,0.7,25.3,28182,16556,32.1,11275,1.5,1.3,4.1,0.7,0.8,61.3,87700,21975,52.1,5.5,23.4,17.8,54.9,42.8,1.1,0.2,0,0.9,21975,54.7,392,5400,1366,344,0,0,0,0,0,0,225437,0,20.99079979,R
Montgomery County,Alabama,90281,2.44,85.5,31.5,10,79,4.4,5.5,20,45358,26255,21.3,103577,1.7,4.6,8.6,3.4,4.3,58.7,122000,227392,52.6,6.7,23.2,13.3,37.8,56.8,0.2,2.2,0,1.7,227392,35.9,5592,103893,15399,4238,231,0,413,0,0,694,3448892,861718,288.5766712,D
Morgan County,Alabama,46164,2.55,82.5,21.4,9.1,85.5,4.3,7.6,24.3,46883,24415,16.3,51523,1.4,3.2,5.4,2.5,2.9,70.9,124900,119555,50.8,5.9,23.2,15.8,81.9,12.2,0.7,0.7,0,2.4,119555,76.6,2573,42737,7567,2375,0,0,0,0,0,388,1774908,0,205.4198603,R
Perry County,Alabama,3198,2.84,76.4,14.5,7.4,91.7,0.4,1.2,26.1,24912,14033,39.8,4693,0.6,3,0.7,0.1,5.2,73.3,73700,9856,52.6,5.6,22.5,18.9,30.1,68.6,0,0.2,0,0.7,9856,29.6,117,1561,488,103,0,0,0,0,0,0,33183,5788,13.30343885,D
Pickens County,Alabama,7618,2.5,81.1,11.1,9.8,90.6,1.6,2.9,29.9,31679,19188,23.9,9449,7,1.4,1.2,1,0.8,72.7,89100,20042,50.7,5.4,20.9,17.9,56.2,41.8,0.1,0.1,0,0.9,20042,54.9,266,2639,1106,210,0,0,0,0,0,0,94450,0,23.05797791,R
Pike County,Alabama,12802,2.45,80,24,8.2,84.8,3.9,5.2,19.7,33193,20180,25.7,15734,4.1,4.9,5.4,4,1.5,59.3,102300,33277,52.3,5.6,20,14.3,58.3,37.6,0.6,2.1,0,1.2,33277,56.6,647,11135,1734,568,0,0,0,0,0,0,416321,70387,49.52507594,R
Randolph County,Alabama,8691,2.55,77.3,15.4,9.2,90.4,1.6,1.7,26.8,37496,19584,20.6,11937,1.8,1.8,2.2,0.6,1.1,71,85600,22615,51.2,5.5,22.2,19.4,77.2,19.6,0.3,0.2,0.2,1.8,22615,75.4,329,3809,1352,301,0,0,0,0,0,30,183363,0,39.01820962,R
Russell County,Alabama,22333,2.6,82.6,17,13.4,80.1,2.8,5.1,24.5,38400,20760,21.5,26719,3.7,4.8,7,2.8,1.7,58.7,114000,58636,51.4,7.6,25.1,12.6,51.8,42.3,0.4,0.7,0.2,3.5,58636,48.7,781,11156,3261,589,0,0,0,0,0,0,514409,90443,90.73016985,D
Shelby County,Alabama,75942,2.67,91.6,41.4,8.3,86.9,5.5,8.2,28,72310,34117,8.5,83622,0.6,1.1,2.8,3.9,3.6,79.3,195400,205951,51.4,6.1,24.4,13,81.2,11.6,0.2,2,0,1.6,205951,78.9,5132,83416,17166,4370,37,0,116,0,0,640,3607350,451842,268.182223,R
St. Clair County,Alabama,31832,2.65,83.5,16.1,9.6,88.2,1.8,2.4,29.8,54042,24474,13.7,35844,0.9,1.8,2,1.1,0.6,81.1,142800,86576,49.8,6,23,15.2,87.5,9.4,0.3,0.9,0,1.1,86576,86.3,1281,16848,5547,1231,0,0,0,0,0,220,811530,118143,139.2916057,R
Sumter County,Alabama,4878,2.55,80,18.1,5.5,93.3,2,3.4,24.4,20428,13929,36.7,6767,2.7,2.3,2.6,2.6,6,66.1,73400,13285,53.8,5.1,19.9,16.2,24.7,71.7,0.3,2.8,0,0.4,13285,24.6,196,2991,710,151,0,0,0,0,0,0,53983,0,14.42654279,D
Talladega County,Alabama,31461,2.47,79.8,13.1,8.7,85.9,1.5,2.6,25,37923,20430,20.8,37197,2.9,3.3,3.1,0.6,1.7,72.2,94200,81057,51.5,5.5,22.2,16.1,64.6,32.1,0.3,0.5,0,1.6,81057,63.5,1229,24080,3992,942,0,0,0,0,0,129,781851,0,108.7207895,R
Tallapoosa County,Alabama,16338,2.47,79.6,17.3,10.1,89.2,1.5,1.8,24.5,39395,21410,23.4,22058,1.8,2.8,2.3,1.7,2.1,70.8,105200,40958,52.6,5.4,21.5,19.5,70.3,27.5,0.4,0.5,0,0.7,40958,69.1,740,10844,2568,664,0,0,43,0,0,0,415096,52900,56.83995551,R
Tuscaloosa County,Alabama,70440,2.73,88.1,29.4,6.7,81.5,3.5,5.2,22.1,48022,23896,18,87923,2.2,4.2,6.8,8,7.6,63,160000,202471,51.8,6,21,11.7,65.4,31,0.1,1.5,0,1,202471,63,4085,78617,12164,3266,82,0,0,0,0,476,2760136,0,155.939738,R
Walker County,Alabama,25194,2.57,78.6,10.5,8.6,84.9,1.4,1.9,29.9,37025,20410,21.9,30708,1.4,1.9,2.4,0.4,0.2,74.5,84800,65593,51.3,6.1,22.2,18.1,91.4,5.8,0.1,0.5,0,2.2,65593,89.6,1221,14913,3750,943,33,0,0,0,0,140,949064,91232,82.11264091,R
Washington County,Alabama,6113,2.74,79.7,9.6,6.7,93.7,1,1.4,33.3,40293,19598,21.6,8374,0.3,0.3,0.5,0,0.1,83.7,81100,16909,50.4,3.9,23.5,16.7,65.5,24.8,7.9,0.7,0,0.6,16909,65.1,210,4979,1065,189,0,0,0,0,0,0,70538,0,15.51184666,R
Wilcox County,Alabama,3792,2.86,79.9,11.3,6.3,94.4,0,1.3,23.9,24442,14800,34.9,5619,0.2,3.3,3,0.4,0.2,62.7,81600,11119,51.8,3.8,23.4,17.8,27.4,71.9,0.1,0,0,0,11119,27.4,180,1918,617,206,0,0,0,0,0,26,75416,0,12.36468309,D
Winston County,Alabama,9436,2.51,76,13.1,7.8,87.4,1.3,2.2,28.3,33896,19299,20.6,13404,1.2,1.9,1.6,1.1,0.1,75.9,77700,24013,50.8,5.3,21,20,96.6,0.4,0.7,0.3,0,1.8,24013,94.3,448,6393,1664,378,0,0,0,0,0,47,158252,0,38.83491928,R
Apache County,Arizona,19351,3.67,78.2,11.1,6.1,93.5,1.7,54.4,28,32460,13428,36.2,32725,1.6,2.5,0.9,0.3,0.5,76.9,77900,72346,50.6,7.3,29.3,13.3,22.5,0.5,73.2,0.4,0.1,2.4,72346,18.6,442,6722,2764,324,0,29,0,0,0,55,280498,53725,6.52933523,D
Cochise County,Arizona,49230,2.38,86.6,23.2,18.9,81.3,11.5,29,19.5,45383,23757,18.9,60401,1.1,2.8,2,2.2,4.9,67.8,140700,128177,49.1,6.2,22.3,19.8,82.8,4,1.2,1.8,0.3,4.9,128177,56.3,2150,25795,6703,1733,0,0,81,0,182,331,1324442,183747,20.40205483,R
Coconino County,Arizona,47366,2.67,88.9,34.2,6.9,77.9,4.8,23.8,18.1,51106,24711,22.2,64435,2,3.4,5.3,4.4,3.6,59.1,231300,138064,50.6,5.9,21.8,10.9,63.3,1.5,26.8,1.8,0.1,3.4,138064,54.6,3650,51713,9228,2984,0,53,175,0,159,507,2197125,1200030,7.568104492,D
Gila County,Arizona,21408,2.44,84.3,17.7,13.4,83.9,4.2,15.9,19.7,40593,21470,21.2,33138,1,2.1,1.5,0.4,0.9,71.9,139800,53179,50.3,5.7,20.4,26.4,78.6,0.6,15.5,0.8,0,2.6,53179,63.2,994,11611,3306,866,0,0,0,0,32,0,553038,124889,11.25600635,R
Graham County,Arizona,10915,3.04,85.4,13.3,8.2,82,4.4,21,21.7,47422,17710,22.5,13268,1.7,2.3,1.6,1,1.8,69.4,121400,37529,46.3,7.7,27.8,12.3,78.9,2,13.2,0.7,0.1,2.6,37529,51.5,476,6814,1498,507,0,0,0,0,54,47,408423,40380,8.133549754,R
Greenlee County,Arizona,3295,2.77,87.9,12.2,10.9,83,4.6,23.2,18.3,51813,23778,13.4,4424,0.8,1.9,2.1,0,1.2,45.5,81600,9224,46.8,7.3,28.3,11.5,90.3,1.9,3.8,0.6,0,1,9224,47.8,86,3848,248,61,0,0,0,0,0,0,64105,11922,5.218846069,R
La Paz County,Arizona,9181,2.18,75.2,10.4,14.8,91.7,11.4,19.6,12.3,36321,21447,21.1,16234,0.5,1.5,0.4,0.4,0.7,75,71200,20304,48.9,4.7,17.3,36.1,75.2,0.4,13.2,0.7,0.2,2.3,20304,58.9,341,4077,818,312,0,0,0,0,0,30,450271,93820,4.515262911,R
Maricopa County,Arizona,1465840,2.75,86.9,31,8.5,82.1,14.7,26.4,25.6,55676,28791,16.5,1680412,1.1,3.8,5.4,6.7,7.9,60.4,204900,4088549,50.5,6.8,25,13.8,78.6,5.3,1.9,3.8,0.2,3.3,4088549,56.9,91270,1623299,310913,71555,897,414,4106,79,4274,13881,74333135,13229406,461.2358433,R
Mohave County,Arizona,82145,2.4,83.9,11.9,14.8,78.8,7,11.3,19.8,39856,22026,19.3,112617,1.8,2.6,2.3,1.1,3,66.8,130000,203629,49.7,4.6,18.7,26.9,89.6,1,2.1,1.3,0.1,2.7,203629,78.3,3697,41954,10781,3052,0,0,81,0,138,514,3063397,397400,15.41939678,R
Navajo County,Arizona,34090,3.1,81.5,14.5,9.2,85.8,2.9,37.3,21.9,36868,16564,29.9,57554,1.8,2.1,1.8,0.6,0.8,69.8,106100,108209,49.8,7.4,27.9,15.7,47.7,0.8,44,0.6,0.1,3.3,108209,41.9,1734,19173,5456,1539,0,45,0,0,158,294,1197234,294898,11.05801231,R
Pima County,Arizona,395390,2.47,87.7,30.8,11.2,79.4,12.9,28.6,24.4,46764,26204,19.1,450828,1.9,3.1,3.5,5.4,8.6,61.3,160800,1003338,50.8,5.9,21.9,17.8,77.3,3.5,3.2,2.7,0.1,4.1,1003338,53.3,20180,316661,65734,15590,185,0,743,0,1312,3028,12230888,2877547,110.6108938,D
Pinal County,Arizona,130801,2.86,84.9,18.5,11.6,80.8,9.9,20.7,31.1,51190,21982,16.5,166455,0.9,1.6,1.1,1,1.1,72.5,142200,397604,47.8,6.3,24.2,18.2,80,4.6,5.3,1.8,0.3,2.9,397604,57.9,3488,48859,18402,3065,0,0,0,0,223,620,2578068,328949,78.00071461,R
